SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,REP_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT,latitude,longitude
555636318,555636318,PA,Cerro De La Ventana,Cerro De La Ventana,Monumento Natural,Nature Monument,National,Not Reported,Not Applicable,Terrestrial,0,6.8,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-38.084361564000005,-61.96228630399998
555636319,555636319,PA,Cerro Pirque,Cerro Pirque,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,7.7,Not Applicable,0,Designated,1993,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-42.199639811000004,-71.43450687299998
555636320,555636320,PA,Cerro San Bernardo,Cerro San Bernardo,Reserva Municipal,Municipal Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0,Not Applicable,0,Designated,1991,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-24.88266528700001,-65.36743742200002
555636321,555636321,PA,Colonias Unidas,Colonias Unidas,Reserva de Uso Múltiple,Multiple Use Reserve,National,Not Reported,Not Applicable,Terrestrial,0,50.42,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.699315491999982,-59.626675965999986
555636322,555636322,PA,El Cachape,El Cachape,Refugio Privado de Vida Silvestre,Private Wildlife Refuge,National,Not Reported,Not Applicable,Terrestrial,0,17.5,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.816057655999998,-59.13390927699999
555636323,555636323,PA,El Mangrullo,El Mangrullo,Refugio Natural Privado,Private Nature Refuge,National,Not Reported,Not Applicable,Terrestrial,0,180,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-28.128927327999975,-64.95889905500002
555636324,555636324,PA,El Puelo,El Puelo,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0.6,Not Applicable,0,Designated,1955,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-42.116302844000025,-71.60117851199999
555636325,555636325,PA,El Tabaquillo - Mogote Bayo,El Tabaquillo - Mogote Bayo,Reserva Privada,Private Reserve,National,Not Reported,Not Applicable,Terrestrial,0,2.5,Not Applicable,0,Designated,1991,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.32981460799999,-64.97355783400002
555636326,555636326,PA,El Talar,El Talar,Reserva Privada,Private Reserve,National,Not Reported,Not Applicable,Terrestrial,0,1.8,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.544160326999986,-58.141522038000005
555636327,555636327,PA,Escuela Justo De Urquiza,Escuela Justo De Urquiza,Reserva de Uso Múltiple,Multiple Use Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0.16,Not Applicable,0,Designated,1992,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.84948420900002,-59.01726818399999
555636329,555636329,PA,General San Martín,General San Martín,Parque Escolar Rural,Rural School Park,National,Not Reported,Not Applicable,Terrestrial,0,6,Not Applicable,0,Designated,1950,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.71614092900001,-60.55065456300002
555636330,555636330,PA,General Belgrano,General Belgrano,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,15.05,Not Applicable,0,Designated,1948,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.06466505200001,-53.78130116400001
555636331,555636331,PA,General Obligado,General Obligado,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,34.47,Not Applicable,0,Designated,1948,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-27.378209020999975,-59.47566017700001
555636332,555636332,PA,Guasamayo,Guasamayo,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,90,Not Applicable,0,Designated,1963,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-30.801469275999978,-66.526333437
555636333,555636333,PA,Ibatin,Ibatin,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,1.2,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-27.161692129000016,-65.733185575
555636334,555636334,PA,Isla Caraguatay,Isla Caraguatay,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,0.32,Not Applicable,0,Designated,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.592552790000017,-54.768438833000005
555636335,555636335,PA,Isla de los Pájaros,Isla de los Pájaros,Reserva Natural Turística,Natural Tourist Reserve,National,Not Reported,Not Applicable,Marine,0,0.23,Not Reported,0,Designated,1967,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-42.41637583800002,-64.51757941300002
555636336,555636336,PA,Islas De San Felipe,Islas De San Felipe,Reserva Natural,Nature Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0.05,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-34.44949683300001,-66.13420699800002
555636338,555636338,PA,"Las Piedras, Camping Tomavieja y Balneario Thompson","Las Piedras, Camping Tomavieja y Balneario Thompson",Paisaje Protegido,Protected Landscape,National,Not Reported,Not Applicable,Terrestrial,0,3.36,Not Applicable,0,Designated,1987,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.71614110000002,-60.51732039000001
555636339,555636339,PA,La Florida R.,La Florida R.,Reserva Provincial de Flora y Fauna,Provincial Flora and Fauna Reserve,National,Not Reported,Not Applicable,Terrestrial,0,3.47,Not Applicable,0,Designated,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.11613638699998,-66.05085769200002
555636340,555636340,PA,La Laguna,La Laguna,Zona de Res. de Fauna Silvestre,Wildlife Area,National,Not Reported,Not Applicable,Terrestrial,0,0,Not Applicable,0,Designated,1991,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-25.149334893999992,-65.58411202100001
555636341,555636341,PA,Lago Guacho,Lago Guacho,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,10,Not Applicable,0,Designated,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-43.82034381699998,-71.47947650999998
